縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,平日夜間停留人數_統計,假日夜間停留人數_統計,資料時間_統計
10009,雲林縣,10009130,麥寮鄉,41041,37549,109Y11M
10009,雲林縣,10009140,東勢鄉,9125,9563,109Y11M
10009,雲林縣,10009150,褒忠鄉,8772,9171,109Y11M
10009,雲林縣,10009160,臺西鄉,13845,14706,109Y11M
10009,雲林縣,10009170,元長鄉,15723,16487,109Y11M
10009,雲林縣,10009180,四湖鄉,12208,12976,109Y11M
10009,雲林縣,10009190,口湖鄉,14030,14934,109Y11M
10009,雲林縣,10009200,水林鄉,13238,13868,109Y11M
10010,嘉義縣,10010010,太保市,38110,39244,109Y11M
10010,嘉義縣,10010020,朴子市,38836,39468,109Y11M
10010,嘉義縣,10010030,布袋鎮,14488,15735,109Y11M
10010,嘉義縣,10010040,大林鎮,36020,33494,109Y11M
10010,嘉義縣,10010050,民雄鄉,85278,84076,109Y11M
10010,嘉義縣,10010060,溪口鄉,9580,9988,109Y11M
10010,嘉義縣,10010070,新港鄉,23844,24925,109Y11M
10010,嘉義縣,10010080,六腳鄉,14456,15387,109Y11M
10010,嘉義縣,10010090,東石鄉,13970,15210,109Y11M
10010,嘉義縣,10010100,義竹鄉,12960,13595,109Y11M
10010,嘉義縣,10010110,鹿草鄉,8739,9217,109Y11M
10010,嘉義縣,10010120,水上鄉,47081,48022,109Y11M
10010,嘉義縣,10010130,中埔鄉,37868,39660,109Y11M
10010,嘉義縣,10010140,竹崎鄉,26388,28572,109Y11M
10010,嘉義縣,10010150,梅山鄉,14676,16392,109Y11M
10010,嘉義縣,10010160,番路鄉,9796,11637,109Y11M
10010,嘉義縣,10010170,大埔鄉,1831,2083,109Y11M
10010,嘉義縣,10010180,阿里山鄉,6594,8514,109Y11M
10013,屏東縣,10013010,屏東市,184073,184400,109Y11M
10013,屏東縣,10013020,潮州鎮,46420,47508,109Y11M
10013,屏東縣,10013030,東港鎮,37331,39229,109Y11M
10013,屏東縣,10013040,恆春鎮,34586,38266,109Y11M
10013,屏東縣,10013050,萬丹鄉,40743,42103,109Y11M
10013,屏東縣,10013060,長治鄉,31228,31789,109Y11M
10013,屏東縣,10013070,麟洛鄉,9330,9665,109Y11M
10013,屏東縣,10013080,九如鄉,17914,18591,109Y11M
10013,屏東縣,10013090,里港鄉,19581,20571,109Y11M
10013,屏東縣,10013100,鹽埔鄉,23304,23452,109Y11M
10013,屏東縣,10013110,高樹鄉,16245,17391,109Y11M
10013,屏東縣,10013120,萬巒鄉,16607,16390,109Y11M
10013,屏東縣,10013130,內埔鄉,60923,61114,109Y11M
10013,屏東縣,10013140,竹田鄉,13077,13694,109Y11M
10013,屏東縣,10013150,新埤鄉,7974,8465,109Y11M
10013,屏東縣,10013160,枋寮鄉,19311,19714,109Y11M
10013,屏東縣,10013170,新園鄉,27957,29274,109Y11M
10013,屏東縣,10013180,崁頂鄉,8193,8516,109Y11M
10013,屏東縣,10013190,林邊鄉,9401,9749,109Y11M
10013,屏東縣,10013200,南州鄉,7676,7973,109Y11M
10013,屏東縣,10013210,佳冬鄉,12671,13398,109Y11M
10013,屏東縣,10013220,琉球鄉,7828,9391,109Y11M
10013,屏東縣,10013230,車城鄉,6322,6935,109Y11M
10013,屏東縣,10013240,滿州鄉,4866,4957,109Y11M
10013,屏東縣,10013250,枋山鄉,4309,4211,109Y11M
10013,屏東縣,10013260,三地門鄉,4208,4719,109Y11M
10013,屏東縣,10013270,霧臺鄉,501,578,109Y11M
10013,屏東縣,10013280,瑪家鄉,2438,2737,109Y11M
10013,屏東縣,10013290,泰武鄉,2287,2709,109Y11M
10013,屏東縣,10013300,來義鄉,3373,3610,109Y11M
10013,屏東縣,10013310,春日鄉,2488,2762,109Y11M
10013,屏東縣,10013320,獅子鄉,2838,3378,109Y11M
10013,屏東縣,10013330,牡丹鄉,3387,3245,109Y11M
10014,臺東縣,10014010,臺東市,111730,113607,109Y11M
10014,臺東縣,10014020,成功鎮,8209,8619,109Y11M
10014,臺東縣,10014030,關山鎮,6590,6945,109Y11M
10014,臺東縣,10014040,卑南鄉,16481,17638,109Y11M
10014,臺東縣,10014050,鹿野鄉,5720,6297,109Y11M
10014,臺東縣,10014060,池上鄉,6569,7247,109Y11M
10014,臺東縣,10014070,東河鄉,5726,6100,109Y11M
10014,臺東縣,10014080,長濱鄉,3975,4233,109Y11M
10014,臺東縣,10014090,太麻里鄉,8218,8624,109Y11M
10014,臺東縣,10014100,大武鄉,3056,3196,109Y11M
10014,臺東縣,10014110,綠島鄉,4303,3919,109Y11M
10014,臺東縣,10014120,海端鄉,2047,2160,109Y11M
10014,臺東縣,10014130,延平鄉,1912,1993,109Y11M
10014,臺東縣,10014140,金峰鄉,1597,1808,109Y11M
10014,臺東縣,10014150,達仁鄉,1994,2123,109Y11M
10014,臺東縣,10014160,蘭嶼鄉,3961,3405,109Y11M
10015,花蓮縣,10015010,花蓮市,111406,115642,109Y11M
10015,花蓮縣,10015020,鳳林鎮,8426,8950,109Y11M
10015,花蓮縣,10015030,玉里鎮,18418,18625,109Y11M
10015,花蓮縣,10015040,新城鄉,24747,24599,109Y11M
10015,花蓮縣,10015050,吉安鄉,88054,90679,109Y11M
10015,花蓮縣,10015060,壽豐鄉,25630,26997,109Y11M
10015,花蓮縣,10015070,光復鄉,8367,8850,109Y11M
10015,花蓮縣,10015080,豐濱鄉,2814,2905,109Y11M
10015,花蓮縣,10015090,瑞穗鄉,9190,9839,109Y11M
10015,花蓮縣,10015100,富里鄉,6196,6608,109Y11M
10015,花蓮縣,10015110,秀林鄉,13005,13859,109Y11M
10015,花蓮縣,10015120,萬榮鄉,1651,1808,109Y11M
10015,花蓮縣,10015130,卓溪鄉,2745,2894,109Y11M
10016,澎湖縣,10016010,馬公市,49763,50227,109Y11M
10016,澎湖縣,10016020,湖西鄉,9795,9605,109Y11M
10016,澎湖縣,10016030,白沙鄉,3835,3913,109Y11M
10016,澎湖縣,10016040,西嶼鄉,3252,3272,109Y11M
10016,澎湖縣,10016050,望安鄉,1835,1216,109Y11M
10016,澎湖縣,10016060,七美鄉,2068,1776,109Y11M
10017,基隆市,10017010,中正區,54134,54414,109Y11M
10017,基隆市,10017020,七堵區,56104,56202,109Y11M
10017,基隆市,10017030,暖暖區,35297,36300,109Y11M
10017,基隆市,10017040,仁愛區,33694,34605,109Y11M
10017,基隆市,10017050,中山區,41269,41233,109Y11M
10017,基隆市,10017060,安樂區,82099,83616,109Y11M
10017,基隆市,10017070,信義區,53224,54234,109Y11M
10018,新竹市,10018010,東區,308608,297685,109Y11M
10018,新竹市,10018020,北區,150170,152068,109Y11M
10018,新竹市,10018030,香山區,90823,90625,109Y11M
