COUNTY_ID,COUNTY,TOWN_ID,TOWN,DAY_WORK(7:00~13:00),DAY_WORK(13:00~19:00),DAY_WORK,DAY_WEEKEND(7:00~13:00),DAY_WEEKEND(13:00~19:00),DAY_WEEKEND,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,平日上午活動人數,平日下午活動人數,平日日間活動人數,假日上午活動人數,假日下午活動人數,假日日間活動人數,資料時間
10004,新竹縣,10004020,竹東鎮,81123,79960,79977,94863,91704,94086,109Y11M
10004,新竹縣,10004030,新埔鎮,31740,31002,31251,35973,35688,35539,109Y11M
10004,新竹縣,10004040,關西鎮,25545,24059,24722,29202,31444,29366,109Y11M
10004,新竹縣,10004050,湖口鄉,137881,136365,136958,114877,112521,113686,109Y11M
10004,新竹縣,10004060,新豐鄉,61609,60688,61198,66336,64418,65607,109Y11M
10004,新竹縣,10004070,芎林鄉,16317,16002,16113,19454,18830,19094,109Y11M
10004,新竹縣,10004080,橫山鄉,9997,10078,9950,13412,13888,13223,109Y11M
10004,新竹縣,10004090,北埔鄉,5893,5972,5928,8989,9436,8989,109Y11M
10004,新竹縣,10004100,寶山鄉,75386,75225,75662,35113,35581,35435,109Y11M
10004,新竹縣,10004110,峨眉鄉,3483,3484,3487,5387,5440,5277,109Y11M
10004,新竹縣,10004120,尖石鄉,5981,6096,5955,11846,12302,11548,109Y11M
10004,新竹縣,10004130,五峰鄉,3182,3410,3240,7046,6734,6597,109Y11M
10005,苗栗縣,10005010,苗栗市,85857,85564,85707,84014,82690,83899,109Y11M
10005,苗栗縣,10005020,苑裡鎮,34354,34681,34481,39643,39830,39941,109Y11M
10005,苗栗縣,10005030,通霄鎮,21783,21857,21922,27280,27497,26964,109Y11M
10005,苗栗縣,10005040,竹南鎮,109524,108279,109049,98104,94606,97190,109Y11M
10005,苗栗縣,10005050,頭份市,81198,81905,81123,95391,95872,95713,109Y11M
